Date,Open,High,Low ,Close,Adj. Close,Volume
"Jun 27, 2023","30,215.00","31,115.00","30,185.00","30,705.00","30,705.00","10,865"
"Jun 26, 2023","30,690.00","30,800.00","30,000.00","30,315.00","30,315.00","9,077"
"Jun 23, 2023","30,175.00","31,655.00","29,975.00","31,120.00","31,120.00","12,562"
"Jun 22, 2023","30,020.00","30,685.00","29,740.00","30,370.00","30,370.00","10,153"
"Jun 21, 2023","28,250.00","30,940.00","28,250.00","30,260.00","30,260.00","18,504"
"Jun 20, 2023","26,485.00","28,445.00","26,310.00","28,180.00","28,180.00","17,218"
"Jun 16, 2023","25,600.00","26,600.00","25,145.00","26,445.00","26,445.00","10,238"
"Jun 15, 2023","25,110.00","25,620.00","24,745.00","25,470.00","25,470.00","10,605"
"Jun 14, 2023","25,890.00","26,155.00","24,815.00","25,900.00","25,900.00","5,866"
"Jun 13, 2023","26,010.00","26,555.00","25,725.00","25,930.00","25,930.00","5,185"
"Jun 12, 2023","26,155.00","26,190.00","25,670.00","25,890.00","25,890.00","5,095"
"Jun 9, 2023","26,710.00","26,920.00","26,380.00","26,475.00","26,475.00","4,376"
"Jun 8, 2023","26,335.00","26,955.00","26,200.00","26,650.00","26,650.00","4,011"
"Jun 7, 2023","27,170.00","27,525.00","26,330.00","26,610.00","26,610.00","7,113"
"Jun 6, 2023","25,665.00","27,375.00","25,315.00","27,265.00","27,265.00","14,581"
"Jun 5, 2023","27,335.00","27,615.00","25,390.00","25,640.00","25,640.00","14,010"
"Jun 2, 2023","26,965.00","27,440.00","26,560.00","27,385.00","27,385.00","7,219"
"Jun 1, 2023","27,185.00","27,440.00","26,675.00","26,925.00","26,925.00","5,116"
"May 31, 2023","27,905.00","28,040.00","26,910.00","27,075.00","27,075.00","9,363"
"May 30, 2023","27,915.00","28,665.00","27,700.00","28,070.00","28,070.00","10,217"
"May 26, 2023","26,500.00","26,825.00","26,330.00","26,750.93","26,750.93","5,519"
"May 25, 2023","26,370.00","26,645.00","25,805.00","26,470.00","26,470.00","11,838"
"May 24, 2023","27,250.00","27,265.00","26,015.00","26,225.00","26,225.00","13,562"
"May 23, 2023","26,915.00","27,565.00","26,800.00","27,200.00","27,200.00","9,455"
"May 22, 2023","26,825.00","27,160.00","26,540.00","26,865.00","26,865.00","7,447"
"May 19, 2023","26,885.00","27,235.00","26,675.00","26,885.00","26,885.00","5,175"
"May 18, 2023","27,390.00","27,545.00","26,375.00","26,780.00","26,780.00","7,836"
"May 17, 2023","27,055.00","27,520.00","26,540.00","27,430.00","27,430.00","6,683"
"May 16, 2023","27,410.00","27,420.00","26,905.00","26,965.00","26,965.00","4,243"
"May 15, 2023","26,885.00","27,740.00","26,770.00","27,475.00","27,475.00","5,914"
"May 12, 2023","27,010.00","27,085.00","25,840.00","26,485.00","26,485.00","7,783"
"May 11, 2023","27,615.00","27,810.00","26,730.00","26,845.00","26,845.00","7,435"
"May 10, 2023","27,660.00","28,415.00","26,745.00","27,775.00","27,775.00","11,878"
"May 9, 2023","27,595.00","27,875.00","27,400.00","27,770.00","27,770.00","4,968"
"May 8, 2023","29,105.00","29,110.00","27,320.00","27,365.00","27,365.00","11,968"
"May 5, 2023","28,940.00","29,910.00","28,860.00","29,765.00","29,765.00","8,255"
"May 4, 2023","29,005.00","29,525.00","28,775.00","29,015.00","29,015.00","6,574"
"May 3, 2023","28,795.00","28,955.00","28,180.00","28,415.00","28,415.00","6,486"
"May 2, 2023","28,030.00","29,055.00","27,955.00","28,850.00","28,850.00","7,112"
"May 1, 2023","29,615.00","29,615.00","27,710.00","27,915.00","27,915.00","8,811"
"Apr 28, 2023","29,655.00","29,705.00","28,890.00","29,177.47","29,177.47","6,022"
"Apr 27, 2023","28,670.00","29,920.00","28,210.00","29,690.00","29,690.00","11,291"
"Apr 26, 2023","28,320.00","30,050.00","27,250.00","27,900.00","27,900.00","14,869"
"Apr 25, 2023","27,450.00","28,070.00","27,195.00","27,605.00","27,605.00","7,926"
"Apr 24, 2023","27,425.00","28,010.00","26,980.00","27,400.00","27,400.00","7,463"
"Apr 21, 2023","28,240.00","28,360.00","27,195.00","27,310.00","27,310.00","6,273"
"Apr 20, 2023","29,195.00","29,255.00","27,985.00","28,095.00","28,095.00","7,611"
"Apr 19, 2023","30,435.00","30,520.00","29,010.00","29,265.00","29,265.00","7,617"
"Apr 18, 2023","29,555.00","30,590.00","29,145.00","30,325.00","30,325.00","5,579"
"Apr 17, 2023","30,585.00","30,585.00","29,285.00","29,550.00","29,550.00","6,895"
"Apr 14, 2023","30,445.00","31,200.00","30,065.00","30,470.00","30,470.00","7,294"
"Apr 13, 2023","30,035.00","30,900.00","29,940.00","30,530.00","30,530.00","5,866"
"Apr 12, 2023","30,365.00","30,710.00","29,800.00","29,925.00","29,925.00","5,859"
"Apr 11, 2023","29,445.00","30,775.00","29,435.00","30,325.00","30,325.00","8,509"
"Apr 10, 2023","28,505.00","29,670.00","28,265.00","29,420.00","29,420.00","9,746"
"Apr 6, 2023","28,350.00","28,350.00","27,765.00","28,140.00","28,140.00","1,295"
"Apr 5, 2023","28,390.00","28,985.00","27,935.00","28,385.00","28,385.00","8,243"
"Apr 4, 2023","27,930.00","28,650.00","27,855.00","28,375.00","28,375.00","6,996"
"Apr 3, 2023","28,540.00","28,775.00","27,595.00","28,265.00","28,265.00","7,861"
"Mar 31, 2023","28,090.00","28,625.00","27,620.00","28,476.50","28,476.50","6,392"
"Mar 30, 2023","28,355.00","29,220.00","27,680.00","27,965.00","27,965.00","9,730"
"Mar 29, 2023","27,170.00","28,685.00","27,170.00","28,440.00","28,440.00","9,845"
"Mar 28, 2023","27,175.00","27,545.00","26,650.00","27,455.00","27,455.00","9,898"
"Mar 27, 2023","27,960.00","28,240.00","26,520.00","26,980.00","26,980.00","11,152"
"Mar 24, 2023","28,385.00","28,570.00","27,480.00","27,915.00","27,915.00","5,845"
"Mar 23, 2023","27,200.00","28,935.00","27,075.00","28,550.00","28,550.00","11,418"
"Mar 22, 2023","28,210.00","29,045.00","26,700.00","26,800.00","26,800.00","10,975"
"Mar 21, 2023","28,150.00","28,680.00","27,555.00","28,310.00","28,310.00","6,288"
"Mar 20, 2023","28,095.00","28,715.00","27,320.00","27,945.00","27,945.00","9,810"
"Mar 17, 2023","25,040.00","27,155.00","25,000.00","27,000.00","27,000.00","12,866"
"Mar 16, 2023","24,610.00","25,300.00","24,250.00","25,090.00","25,090.00","6,503"
"Mar 15, 2023","24,655.00","25,440.00","24,005.00","24,490.00","24,490.00","13,885"
"Mar 14, 2023","24,230.00","26,615.00","24,030.00","25,240.00","25,240.00","16,272"
"Mar 13, 2023","21,250.00","24,620.00","21,110.00","24,405.00","24,405.00","28,142"
"Mar 10, 2023","20,300.00","20,330.00","19,520.00","19,965.00","19,965.00","13,496"
"Mar 9, 2023","21,800.00","21,850.00","19,960.00","20,065.00","20,065.00","14,035"
"Mar 8, 2023","22,100.00","22,300.00","21,880.00","22,115.00","22,115.00","6,280"
"Mar 7, 2023","22,455.00","22,600.00","21,940.00","22,070.00","22,070.00","6,742"
"Mar 6, 2023","22,455.00","22,665.00","22,300.00","22,390.00","22,390.00","4,800"
"Mar 3, 2023","23,560.00","23,615.00","22,020.00","22,320.00","22,320.00","12,038"
"Mar 2, 2023","23,645.00","23,925.00","23,300.00","23,590.00","23,590.00","4,721"
"Mar 1, 2023","23,275.00","24,165.00","23,140.00","23,530.00","23,530.00","6,343"
"Feb 28, 2023","23,585.00","23,780.00","23,150.00","23,410.00","23,410.00","4,903"
"Feb 27, 2023","23,565.00","24,060.00","23,235.00","23,445.00","23,445.00","6,664"
"Feb 24, 2023","23,880.00","24,100.00","23,560.00","23,576.05","23,576.05","12,099"
"Feb 23, 2023","24,100.00","24,610.00","23,620.00","23,920.00","23,920.00","11,773"
"Feb 22, 2023","24,395.00","24,495.00","23,590.00","23,800.00","23,800.00","13,563"
"Feb 21, 2023","24,505.00","25,335.00","23,905.00","24,490.00","24,490.00","19,029"
"Feb 17, 2023","24,080.00","25,095.00","23,430.00","24,870.00","24,870.00","12,414"
"Feb 16, 2023","24,285.00","25,345.00","24,245.00","24,640.00","24,640.00","16,546"
"Feb 15, 2023","22,270.00","24,415.00","22,100.00","24,250.00","24,250.00","10,953"
"Feb 14, 2023","21,700.00","22,375.00","21,575.00","22,335.00","22,335.00","8,590"
"Feb 13, 2023","21,820.00","21,930.00","21,380.00","21,710.00","21,710.00","7,442"
"Feb 10, 2023","21,825.00","21,970.00","21,505.00","21,775.00","21,775.00","6,154"
"Feb 9, 2023","23,015.00","23,085.00","21,720.00","22,010.00","22,010.00","10,270"
"Feb 8, 2023","23,300.00","23,540.00","22,695.00","22,885.00","22,885.00","5,590"
"Feb 7, 2023","22,960.00","23,460.00","22,725.00","23,300.00","23,300.00","5,725"
"Feb 6, 2023","23,100.00","23,275.00","22,755.00","23,110.00","23,110.00","4,857"
"Feb 3, 2023","23,665.00","23,890.00","23,340.00","23,485.00","23,485.00","6,471"
"Feb 2, 2023","23,940.00","24,450.00","23,550.00","24,005.00","24,005.00","7,693"
"Feb 1, 2023","23,335.00","23,965.00","22,905.00","23,755.00","23,755.00","5,605"
"Jan 31, 2023","22,870.00","23,410.00","22,850.00","23,250.00","23,250.00","3,489"
"Jan 30, 2023","23,900.00","24,080.00","22,715.00","22,825.00","22,825.00","5,865"
"Jan 27, 2023","22,955.00","23,090.00","22,545.00","23,052.73","23,052.73","7,950"
"Jan 26, 2023","23,100.00","23,285.00","22,835.00","23,075.00","23,075.00","11,146"
"Jan 25, 2023","22,770.00","23,770.00","22,345.00","22,940.00","22,940.00","10,974"
"Jan 24, 2023","22,990.00","23,210.00","22,775.00","23,065.00","23,065.00","7,975"
"Jan 23, 2023","22,605.00","23,240.00","22,585.00","23,090.00","23,090.00","10,731"
"Jan 20, 2023","21,155.00","22,525.00","20,935.00","22,390.00","22,390.00","9,472"
"Jan 19, 2023","20,905.00","21,275.00","20,730.00","21,200.00","21,200.00","5,319"
"Jan 18, 2023","21,325.00","21,795.00","20,460.00","20,800.00","20,800.00","13,106"
"Jan 17, 2023","20,985.00","21,725.00","20,690.00","21,485.00","21,485.00","12,709"
"Jan 13, 2023","18,945.00","19,995.00","18,785.00","19,550.00","19,550.00","7,033"
"Jan 12, 2023","17,625.00","19,200.00","17,615.00","19,155.00","19,155.00","14,036"
"Jan 11, 2023","17,490.00","17,635.00","17,330.00","17,615.00","17,615.00","4,674"
"Jan 10, 2023","17,180.00","17,555.00","17,135.00","17,535.00","17,535.00","5,068"
"Jan 9, 2023","16,980.00","17,440.00","16,955.00","17,225.00","17,225.00","7,471"
"Jan 6, 2023","16,825.00","17,085.00","16,645.00","16,895.00","16,895.00","6,144"
"Jan 5, 2023","16,810.00","16,890.00","16,715.00","16,840.00","16,840.00","3,408"
"Jan 4, 2023","16,625.00","17,015.00","16,610.00","16,780.00","16,780.00","7,387"
"Jan 3, 2023","16,675.00","16,765.00","16,525.00","16,615.00","16,615.00","4,086"
"Dec 30, 2022","16,615.00","16,625.00","16,285.00","16,498.08","16,498.08","6,062"
"Dec 29, 2022","16,510.00","16,640.00","16,435.00","16,585.00","16,585.00","6,599"
